Brand,Parent_Company,DFW_Locations,Store_Type,Reports_ESG,CDP_Score,SBTi_Status,Emissions_Target,Renewable_Pct,Renewable_Note,Waste_Diversion_Pct,Waste_Note,Notable_Programs,Report_URL,Confidence,Data_Note,Sub_Reporting,Sub_Target,Sub_Renewable,Sub_Waste,Sub_Programs,Score_Raw_0to10,Sustain_Score_1to5,Sustain_Label
Walmart,Walmart Inc.,126,Super Store,Yes,"Not public (last confirmed A, 2019)",Near-term validated (2026),Scope 1+2 -28% by FY2031 vs FY2025; zero-emissions aspiration 2040,53.3,53.3% global electricity FY2026; 100% by 2035 goal,84.0,84% operational waste diverted FY2026,Project Gigaton supplier program; 10 GW clean energy pledge,https://corporate.walmart.com/purpose/esgreport,High,Missed 2025 targets; new SBTi-validated target set 2026,2,2,2,2,2,10,5,Leader
Sam's Club,Walmart Inc.,23,Super Store,Yes (via Walmart),See Walmart,See Walmart,See Walmart,53.3,Inherits Walmart Inc. figure,84.0,Inherits Walmart Inc. figure,Walmart Inc. programs,https://corporate.walmart.com/purpose/esgreport,Medium,No standalone reporting; all metrics inherited from Walmart Inc.,2,2,2,2,2,10,5,Leader
Target,Target Corporation,49,Super Store,Yes,Not public,Near-term validated (2019); updated targets pending,Scope 1+2 -55% by 2030 vs 2017 (-41% by 2024); net zero 2040,76.0,76% renewable electricity 2024; 100% by 2030,87.0,87% landfill diversion 2024; 90% by 2030,Target Forward; Forward Renew supplier program; Target Zero,https://corporate.target.com/sustainability-governance/climate,High,,2,2,2,2,2,10,5,Leader
Costco,Costco Wholesale Corp.,16,Super Store,Yes,Not public,None (states it has not adopted SBTs),Scope 1+2 -39% by 2030 vs 2020 (-2% so far); no net-zero year,28.0,28% clean electricity 2024; 100% by 2035,82.8,82.8% diverted FY2025,Climate Action Plan; supplier emissions engagement,https://www.costco.com/sustainability-climate-action-plan.html,High,Little progress on target to date,2,1,1,2,1,7,4,Strong
BJ's Wholesale Club,BJ's Wholesale Club Holdings,2,Super Store,Partial (2022 report),Not public,None (2022 pledge unfulfilled),None; Scope 1+2 baseline only,,~6% on-site solar FY2023; no target,,No % reported; 50% food-waste-reduction pledge by 2030,Feeding Communities donations; rooftop solar,https://www.bjs.com/biz/BJsESGContentEspot/BJs_ESGReport_2022.pdf,Low,Layer lists as 'BJ's Wholesale Club 252/264'; ESG content removed from site,1,0,0,1,1,3,2,Limited
Kroger,The Kroger Co.,87,Supermarket,Yes,Not public,"Committed (2022), not validated",Scope 1+2 -30% by 2030 vs 2018 (-15% by 2024); no net-zero year,,Not reported,85.0,85% operational diversion 2024,Zero Hunger | Zero Waste; natural refrigerants,https://www.thekrogerco.com/impact/reporting-hub/,Medium-High,Renewable % not disclosed,2,1,0,2,2,7,4,Strong
Albertsons,Albertsons Companies,27,Supermarket,Yes,Not public,Near-term validated (~2022),Scope 1+2 -47% by 2030 vs 2019 (-24% by FY2024); net zero ops 2040,48.0,48% green power (EPA GPP Oct 2024),,Zero food waste to landfill by 2030; 325M lbs diverted FY2024; no % reported,Recipe for Change; Nourishing Neighbors,https://s29.q4cdn.com/239956855/files/doc_downloads/2025/12/RecipeForChangeReport2025.pdf,High,,2,2,1,1,2,8,5,Leader
Tom Thumb,Albertsons Companies,68,Supermarket,Yes (via Albertsons),See Albertsons,See Albertsons,See Albertsons,48.0,Inherits Albertsons figure,,Inherits Albertsons,Albertsons programs,https://s29.q4cdn.com/239956855/files/doc_downloads/2025/12/RecipeForChangeReport2025.pdf,High,Banner; metrics are Albertsons consolidated,2,2,1,1,2,8,5,Leader
Market Street,United Supermarkets / Albertsons,10,Supermarket,Yes (via Albertsons),See Albertsons,See Albertsons,See Albertsons,48.0,Inherits Albertsons figure,,Inherits Albertsons,Albertsons programs,https://s29.q4cdn.com/239956855/files/doc_downloads/2025/12/RecipeForChangeReport2025.pdf,High,Banner; metrics are Albertsons consolidated,2,2,1,1,2,8,5,Leader
ALDI,ALDI Inc. (ALDI SUD Group),57,Supermarket,Yes,Not public,Net-zero validated (2024),"Scope 1+2 -52% by 2030, -90% by 2035 vs 2021; net zero 2050",100.0,100% renewable (RECs) 6 yrs running; EPA GPP #4 retail,82.4,82.4% diverted 2024; 90% goal,Natural refrigerants (33% of stores); no plastic bags; on-site solar,https://corporate.aldi.us/corporate-sustainability/progress-report,High,,2,2,2,2,2,10,5,Leader
